Date,Title,Event,Host,Presentation,Contribution,Link
28/11/2025,"Lacking confidence: The coverage, conservatism, and correction of simultaneous $T^2$ confidence intervals",SASA 2025,NWU (Vanderbijlpark),Contributed talk,Presenting author,https://app.glueup.com/event/sasa-2025-137373/
26/11/2025,Modelling Insurance Premiums for Risk Assessment Using Interpretable Machine Learning,SASA 2025,NWU (Vanderbijlpark),Poster,Co-author,https://app.glueup.com/event/sasa-2025-137373/
21/11/2024,Network Analysis and Disruption Simulation of a South African CIT Criminal Network,SASA 2024,UWC (Stellenbosch),Contributed talk,Presenting author,https://app.glueup.com/event/sasa-2024-113122/
20/11/2024,Automated analysis of penguin-borne videos using deep learning,SASA 2024,UWC (Stellenbosch),Poster,Co-author,https://app.glueup.com/event/sasa-2024-113122/
30/11/2022,Feature Engineering for Tennis Match Outcome Prediction,SASA 2022,SASA (George),Contributed talk,Presenting author,https://app.glueup.com/event/sasa-2022-52197/
01/12/2021,Monitoring and mapping the critically endangered Clanwilliam cedar using aerial imagery and deep learning,SASA 2021,SU (Stellenbosch),Contributed talk,Presenting author,https://www.sastat.org/events/conferences/sasa2021
01/12/2021,Automated quantification of hydraulic failure in plants using deep learning,SASA 2021,SU (Stellenbosch),Contributed talk,Co-author,https://www.sastat.org/events/conferences/sasa2021
29/11/2018,Matching a Bullet to a Gun: One-Shot Learning and Convolutional Siamese Neural Networks,SASA 2018,UNISA (Florida),Contributed talk,Presenting author,https://www.sastat.org/events/conferences/sasa-2018
29/10/2014,On-line teaching of Statistics,SASA 2014,RU (Makhanda),Invited talk,Presenting author,https://www.sastat.org/events/conferences/sasa-2014
28/06/2013,Effect of Prior Choice in Generalized-Gamma-t Hierarchical Model,ISBASA 2013,RU (Makhanda),Contributed talk,Presenting author,
07/11/2012,A Hierarchical Bayesian Model: Combining The Generalized Gamma And Generalized t-Distributions,SASA 2012,NMU (Gqeberha),Contributed talk,Presenting author,https://www.sastat.org/events/conferences/sasa-2012
02/11/2011,Application of the Hungarian algorithm in baseball team selection and assignment,SASA 2011,CSIR (Pretoria),Contributed talk,Presenting author,https://www.sastat.org/events/conferences/sasa-2011
03/11/2011,Application of GGam distribution to water data,SASA 2011,CSIR (Pretoria),Contributed talk,Presenting author,https://www.sastat.org/events/conferences/sasa-2011
